,Awards,Country,DVD,Director,Language,Metascore,Plot,Poster,Production,Rated,Rating,RatingSource,Released,Response,Runtime,Title,Type,Website,Year,imdbID,imdbRating,imdbVotes
9286,Nominated for 1 Oscar. Another 4 wins & 48 nominations.,"UK, France",24 Nov 2015,"Mark Burton, Richard Starzak",None,81,"When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTc1ODY5MTQ1Nl5BMl5BanBnXkFtZTgwMDM5ODI1NjE@._V1_SX300.jpg,Lionsgate,PG,7.4/10,Internet Movie Database,05 Aug 2015,True,85 min,Shaun the Sheep Movie,movie,http://shaunthesheep.com/movie,2015,tt2872750,7.4,"29,455"
9289,2 nominations.,USA,05 Jan 2016,Leslye Headland,English,64,"A good-natured womanizer and a serial cheater form a platonic relationship that helps reform them in ways, while a mutual attraction sets in.",https://ia.media-imdb.com/images/M/MV5BMTUyMzQwNjEyNV5BMl5BanBnXkFtZTgwMzYwMzgwNjE@._V1_SX300.jpg,IFC Films,R,6.5/10,Internet Movie Database,12 Aug 2015,True,101 min,Sleeping with Other People,movie,http://www.sleepingwithotherpeoplefilm.com,2015,tt3165612,6.5,"31,861"
9292,6 wins & 18 nominations.,"UK, New Zealand",07 Jul 2015,John Maclean,"English, French",72,"A young Scottish man travels across America in pursuit of the woman he loves, attracting the attention of an outlaw who is willing to serve as a guide.",https://ia.media-imdb.com/images/M/MV5BNTYxNDA5ODk5NF5BMl5BanBnXkFtZTgwNzMwMzIwNTE@._V1_SX300.jpg,A24,R,6.9/10,Internet Movie Database,16 Apr 2015,True,84 min,Slow West,movie,http://a24films.com/films/slow-west/,2015,tt3205376,6.9,"34,536"
9295,16 wins & 35 nominations.,USA,19 Jan 2016,Marielle Heller,English,87,A teen artist living in 1970s San Francisco enters into an affair with her mother's boyfriend.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MTQ3NTgwOF5BMl5BanBnXkFtZTgwMDQ3NTc5NTE@._V1_SX300.jpg,Sony Pictures Classics,R,6.9/10,Internet Movie Database,28 Aug 2015,True,102 min,The Diary of a Teenage Girl,movie,http://sonyclassics.com/thediaryofateenagegirl/,2015,tt3172532,6.9,"24,510"
9298,3 nominations.,"Iceland, Switzerland, USA",20 Oct 2015,Craig Zobel,English,68,"In the wake of a disaster that wipes out most of civilization, two men and a young woman find themselves in an emotionally charged love triangle as the last known survivors.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMTUwODUzNV5BMl5BanBnXkFtZTgwMDIxMDE5NTE@._V1_SX300.jpg,Roadside Attractions,PG-13,6.0/10,Internet Movie Database,28 Aug 2015,True,98 min,Z for Zachariah,movie,N/A,2015,tt1598642,6.0,"22,791"
9301,17 wins & 29 nominations.,USA,06 Oct 2015,Alfonso Gomez-Rejon,English,74,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTA1NzUzNjY4MV5BMl5BanBnXkFtZTgwNDU0MDI0NTE@._V1_SX300.jpg,Fox Searchlight,PG-13,7.8/10,Internet Movie Database,01 Jul 2015,True,105 min,Me and Earl and the Dying Girl,movie,http://MeAndEarlMovie.com,2015,tt2582496,7.8,"101,842"
9304,12 wins & 6 nominations.,"UK, USA, Ireland",05 Apr 2016,Corin Hardy,English,65,A family who moved into a remote mill house in Ireland finds themselves in a fight for survival with demonic creatures living in the woods.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ2MjUzNTg5MF5BMl5BanBnXkFtZTgwNTY1MTY3NjE@._V1_SX300.jpg,Occupant Entertainment,NOT RATED,5.7/10,Internet Movie Database,05 Nov 2015,True,97 min,The Hallow,movie,http://www.corinhardy.com/the-woods/,2015,tt2474976,5.7,"12,143"
9307,28 wins & 18 nominations.,Brazil,12 Jan 2016,Anna Muylaert,Portuguese,82,"When the estranged daughter of a hard-working live-in housekeeper suddenly appears, the unspoken class barriers that exist within the home are thrown into disarray.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTQ1NjIwMzcyNF5BMl5BanBnXkFtZTgwNDY0NzI1NjE@._V1_SX300.jpg,Oscilloscope Laboratories,R,7.8/10,Internet Movie Database,28 Aug 2015,True,112 min,The Second Mother,movie,http://thesecondmother.vhx.tv/,2015,tt3742378,7.8,"9,500"
9310,7 wins & 3 nominations.,USA,N/A,Jennifer Phang,"English, French",59,"In a near-future city where soaring opulence overshadows economic hardship, Gwen and her daughter Jules do all they can to hold on to their joy together, despite the instability surfacing in their world.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2OTMzNjQxOV5BMl5BanBnXkFtZTgwMTM5MjE1NjE@._V1_SX300.jpg,Film Presence,NOT RATED,6.3/10,Internet Movie Database,23 Jun 2015,True,90 min,Advantageous,movie,http://advantageous.me,2015,tt3090670,6.3,"3,306"
9313,Nominated for 3 Oscars. Another 36 wins & 152 nominations.,"UK, Canada, Ireland, Belgium",15 Mar 2016,John Crowley,"English, Latin, Scottish Gaelic",87,"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzE4MDk5NzEyOV5BMl5BanBnXkFtZTgwNDM4NDA3NjE@._V1_SX300.jpg,Fox Searchlight Pictures,PG-13,7.5/10,Internet Movie Database,25 Nov 2015,True,117 min,Brooklyn,movie,http://www.brooklyn-themovie.com,2015,tt2381111,7.5,"104,408"
9316,8 nominations.,USA,09 Apr 2007,Brett Haley,English,75,A widow and former songstress discovers that life can begin anew at any age.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMzc5OTkyOV5BMl5BanBnXkFtZTgwNzc3OTMyNTE@._V1_SX300.jpg,WARNER BROTHERS PICTURES,PG-13,6.7/10,Internet Movie Database,15 May 2015,True,92 min,I'll See You in My Dreams,movie,N/A,2015,tt3236120,6.7,"5,584"
9319,4 wins & 16 nominations.,"USA, Australia",02 Jun 2015,"Lana Wachowski, Lilly Wachowski","English, Russian",40,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNzk2MjA2NF5BMl5BanBnXkFtZTgwMjEwNzk3MjE@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,5.3/10,Internet Movie Database,06 Feb 2015,True,127 min,Jupiter Ascending,movie,http://www.jupiterascending.com/,2015,tt1617661,5.3,"156,793"
9322,N/A,France,N/A,"Maxime Govare, Noémie Saglio",French,N/A,"Jeremie wakes up alongside a pretty woman. But it's the first time for Jeremie, normally he prefers his future husband Antoine. It's a funny story of a ""Comming In""",https://images-na.ssl-images-amazon.com/images/M/MV5BOTdlNmU0MGYtOWJjOC00NTliLTk1M2UtZjlmZDZhMTY1ZmI1XkEyXkFqcGdeQXVyMzI4MzkxNTY@._V1_SX300.jpg,N/A,N/A,5.9/10,Internet Movie Database,28 Jan 2015,True,98 min,I Kissed a Girl,movie,N/A,2015,tt4255626,5.9,"1,256"
9323,N/A,India,N/A,Guhan Sambandham,Tamil,N/A,The plot is set in a rural backdrop where three middle class characters running a hotel come across three different circumstances facing three important life decision that is going to ...,https://images-na.ssl-images-amazon.com/images/M/MV5BZmE4M2RlY2MtOTgzMS00OTE2LTk0MzEtMjgxNDcxNTA3YTRmXkEyXkFqcGdeQXVyNjc4NTQxNjg@._V1_SX300.jpg,N/A,N/A,4.7/10,Internet Movie Database,30 Jan 2015,True,N/A,Dharani,movie,N/A,2015,tt4401880,4.7,6
9324,N/A,India,N/A,Surya S.J.,Tamil,N/A,"A maestro decides to snuff out his subordinate, after the latter subdued all his fame.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2NTA3ODQ3OV5BMl5BanBnXkFtZTgwNzAzMTg3NjE@._V1_SX300.jpg,N/A,N/A,6.4/10,Internet Movie Database,30 Jan 2015,True,190 min,Isai,movie,N/A,2015,tt4401884,6.4,495
9325,N/A,India,N/A,A. Venkatesh,Tamil,N/A,"Dharani, a daring youth, gives refuge to Anjali, a rich girl, who fled from her house to escape a marriage with her rowdy uncle. But, his act of goodwill invites more trouble for him and his family.",https://images-na.ssl-images-amazon.com/images/M/MV5BMDUyZDQ0ZWEtNmQ2My00MjkxLWIzODUtYzJlNmE4N2JiYTI2XkEyXkFqcGdeQXVyMjM5NDY4NzU@._V1_SX300.jpg,N/A,N/A,3.8/10,Internet Movie Database,30 Jan 2015,True,132 min,Killadi,movie,N/A,2015,tt4401890,3.8,36
9326,N/A,USA,NOT_GIVEN,N/A,English,N/A,The Loft is a character-driven dramedy series created by Natalie Faye. It follows a motley crew of struggling young creatives whose lives intersect in the illegal DUMBO loft apartment they ...,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyMDY1NjQ4N15BMl5BanBnXkFtZTgwOTQxMjU5MzE@._V1_SX300.jpg,NOT_GIVEN,N/A,7.6/10,Internet Movie Database,01 Jan 2015,True,N/A,The Loft,series,NOT_GIVEN,2015–,tt4058650,7.6,63
9327,N/A,USA,09 Jun 2015,Dean Israelite,English,47,"A group of teens discover secret plans of a time machine, and construct one. However, things start to get out of control.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMjQ2NjI4OV5BMl5BanBnXkFtZTgwODc2NjUwNDE@._V1_SX300.jpg,Paramount Pictures,PG-13,6.4/10,Internet Movie Database,30 Jan 2015,True,106 min,Project Almanac,movie,http://www.projectalmanac.com/,2015,tt2436386,6.4,"67,040"
9330,N/A,India,N/A,R.K. Selvamani,Tamil,N/A,A police officer investigates an accident involving a team of workers at a petroleum plant whose bus has fallen into a ravine.,N/A,N/A,N/A,7.1/10,Internet Movie Database,30 Jan 2015,True,145 min,Pulan Visaranai 2,movie,N/A,2015,tt4425388,7.1,7
9331,N/A,China,N/A,Junyi Ceng,Mandarin,N/A,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMzg5MTI4NTM1N15BMl5BanBnXkFtZTgwNDU1MjYzNDE@._V1_SX300.jpg,China Lion Film Distribution,N/A,2.8/10,Internet Movie Database,30 Jan 2015,True,88 min,Running Man,movie,N/A,2015,tt4412218,2.8,74
9332,N/A,India,N/A,S.A. Chandrashekhar,Tamil,N/A,Two parallel stories - one with an old man looking for his long lost love and the other about an elder sister seeking revenge against those responsible for the death of her sibling.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjhiZjI4YzYtYTcwMy00MGVjLWJmZjctNmYwNjUxZjg1NTc4XkEyXkFqcGdeQXVyNjQwMTMzNjM@._V1_SX300.jpg,N/A,N/A,3.2/10,Internet Movie Database,30 Jan 2015,True,136 min,Touring Talkies,movie,N/A,2015,tt4415316,3.2,24
9333,1 win & 4 nominations.,South Korea,N/A,Hyun-seok Kim,Korean,N/A,Oh Geun-tae (JUNG Woo) is a country boy with a booming baritone who is discovered by aspiring singer-songwriter Lee Jang-hui (JIN Goo) and thrust into the bustling world of Seoul's iconic ...,https://images-na.ssl-images-amazon.com/images/M/MV5BZmE5ZWQzYTMtM2QzNi00MjM4LWI2ZjYtNzdiZDZkYTY0NDUzXkEyXkFqcGdeQXVyNTQ0NTUxOTA@._V1_SX300.jpg,CJ Entertainment,N/A,7.0/10,Internet Movie Database,13 Feb 2015,True,122 min,C'est Si Bon,movie,http://www.cj-entertainment.com/movies/150119-002/c-est-si-bon,2015,tt4430992,7.0,240
9334,1 win & 6 nominations.,India,N/A,Gautham Menon,"Tamil, Telugu",N/A,"Sathyadev, a sincere police officer, tries to stop an organ trafficking racket. But he is unaware that the man performing the illegal trade is the same person who killed his beloved.",https://images-na.ssl-images-amazon.com/images/M/MV5BYTI1MWI1OTQtNWQ0Ny00NGQxLWI0ZWYtNzhkMzk4NzRlMzk4XkEyXkFqcGdeQXVyODE0NjUxNzY@._V1_SX300.jpg,N/A,N/A,7.3/10,Internet Movie Database,05 Feb 2015,True,168 min,Yennai Arindhaal,movie,N/A,2015,tt4258292,7.3,"6,482"
9335,Nominated for 1 Oscar. Another 20 wins & 52 nominations.,UK,14 Jun 2016,Andrew Haigh,English,94,A married couple preparing to celebrate their wedding anniversary receives shattering news that promises to forever change the course of their lives.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxMTQ4NzMyN15BMl5BanBnXkFtZTgwODA0MTgyNzE@._V1_SX300.jpg,Sundance Selects,R,7.1/10,Internet Movie Database,28 Aug 2015,True,91 min,45 Years,movie,http://www.45yearsfilm.com/,2015,tt3544082,7.1,"24,984"
9338,1 win & 9 nominations.,"USA, South Korea",02 Jun 2015,"Paul Tibbitt, Mike Mitchell",English,62,"When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his nemesis Plankton must team up in order to get it back.",https://ia.media-imdb.com/images/M/MV5BMjYyNDczNTE0MF5BMl5BanBnXkFtZTgwNjkzNDYxMzE@._V1_SX300.jpg,Paramount Pictures,PG,6.0/10,Internet Movie Database,06 Feb 2015,True,92 min,The SpongeBob Movie: Sponge Out of Water,movie,http://www.spongebobmovie.com/,2015,tt2279373,6.0,"39,952"
9341,9 wins & 21 nominations.,"Mexico, USA",05 Jul 2016,Gabriel Ripstein,"Spanish, English",N/A,"Arnulfo Rubio smuggles weapons for a deadly Mexican cartel. ATF agent Hank Harris attempts to apprehend him, but gets kidnapped by Rubio, instead. Rubio takes him to his bosses, but during the 600-miles-long drive, they slowly befriend.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNTgxMDQ0NF5BMl5BanBnXkFtZTgwNzM2NzkyNzE@._V1_SX300.jpg,Lucia Films,R,5.5/10,Internet Movie Database,05 Jul 2016,True,85 min,600 Miles,movie,N/A,2015,tt3685622,5.5,"1,765"
9343,N/A,USA,N/A,Holly De Ruyter,English,N/A,"Supper club restaurants were the hot dinning trend in the mid twentieth century. They provided a place for people to spend their evenings enjoying cocktails, home cooked, high quality food ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMWUyYjZiYTAtMmMxMC00YmQ0LTk1YzYtMTlhZDEyMDc0M2I1XkEyXkFqcGdeQXVyMTU4NzE4NA@@._V1_SX300.jpg,N/A,N/A,8.0/10,Internet Movie Database,10 Apr 2015,True,51 min,Old Fashioned: The Story of the Wisconsin Supper Club,movie,N/A,2015,tt4386134,8.0,7
9344,1 nomination.,"France, USA",N/A,Étienne Faure,English,N/A,Maurice is a French teenager who escaped France and begins working at a hype club in Brooklyn called BIZARRE. He quickly becomes a sort of 'mascot' of this incredible club.The owner and the...,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2MDQ0NzYxNF5BMl5BanBnXkFtZTgwODY4Njg1NzE@._V1_SX300.jpg,N/A,UNRATED,4.5/10,Internet Movie Database,07 Feb 2015,True,98 min,Bizarre,movie,N/A,2015,tt3904272,4.5,777
9345,21 wins & 20 nominations.,"Guatemala, France",N/A,Jayro Bustamante,"Maya, Spanish",83,"On the slopes of an active volcano in Guatemala, a marriage is arranged for seventeen-year-old María by her Kaqchikel parents.",https://ia.media-imdb.com/images/M/MV5BMTUyMjUwMDk2NV5BMl5BanBnXkFtZTgwMzU4NTUzOTE@._V1_SX300.jpg,La Casa de Production,NOT RATED,7.2/10,Internet Movie Database,25 Nov 2015,True,93 min,Ixcanul,movie,N/A,2015,tt4135844,7.2,"1,975"
9348,1 win & 3 nominations.,USA,22 Dec 2015,Alex Ross Perry,English,77,Two women who grew up together discover they have drifted apart when they retreat to a lake house together.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzMzOTc2MzYyNl5BMl5BanBnXkFtZTgwODA4MDgzNjE@._V1_SX300.jpg,IFC Films,NOT RATED,6.4/10,Internet Movie Database,26 Aug 2015,True,90 min,Queen of Earth,movie,N/A,2015,tt3993894,6.4,"4,562"
9351,2 wins & 5 nominations.,"Estonia, Finland",N/A,Elmo Nüganen,"Estonian, Russian, German",N/A,"In ""1944"" Director Elmo Nyuganena portrays the real events on the Eastern Front in Estonia in 1944, from the Battle Of Tannenburg Line, the July fighting on the Sinimäed Hills, until ...",https://images-na.ssl-images-amazon.com/images/M/MV5BODkxY2ZkYWYtM2Y4My00ZWJmLTk3ZmItOGYwNjFiN2MzY2FmXkEyXkFqcGdeQXVyNTkyMjQwNw@@._V1_SX300.jpg,Taska Films,N/A,7.1/10,Internet Movie Database,04 Nov 2015,True,100 min,1944,movie,N/A,2015,tt3213684,7.1,"3,728"
9352,7 wins & 8 nominations.,"Slovakia, Czech Republic",N/A,Ivan Ostrochovský,"Slovak, Czech, German, English",N/A,A former Olympic boxer on a quest for his last defeat.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjY2OTU5MTY2NV5BMl5BanBnXkFtZTgwMzEzMDIyNDE@._V1_SX300.jpg,N/A,N/A,6.2/10,Internet Movie Database,10 Sep 2015,True,75 min,Goat,movie,N/A,2015,tt3858912,6.2,159
9353,8 wins & 11 nominations.,"Thailand, USA, Indonesia",N/A,Josh Kim,"Thai, English",N/A,"After the loss of both parents, 11 years old Oat faces an uncertain future when his older brother must submit to Thailand's annual military draft lottery. Unable to convince his brother to ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI1MjMzMDM3NF5BMl5BanBnXkFtZTgwNjAyNjQxNDE@._V1_SX300.jpg,N/A,NOT RATED,7.2/10,Internet Movie Database,26 Apr 2015,True,80 min,How to Win at Checkers (Every Time),movie,N/A,2015,tt4370256,7.2,606
9355,17 nominations.,"UK, USA",10 Nov 2015,Bill Condon,"English, Japanese, French",67,"An aged, retired Sherlock Holmes deals with early dementia, as he tries to remember his final case, and a mysterious woman, whose memory haunts him. He also befriends a fan, the young son of his housekeeper, who wants him to work again.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5MjE0Njk0MF5BMl5BanBnXkFtZTgwNTgwMjQ4NTE@._V1_SX300.jpg,Roadside Attractions,PG,6.9/10,Internet Movie Database,24 Jul 2015,True,104 min,Mr. Holmes,movie,http://www.mrholmesfilm.com,2015,tt3168230,6.9,"53,719"
9358,N/A,"UK, Germany, Canada, Australia, USA",01 Mar 2016,Anton Corbijn,English,59,A photographer for Life Magazine is assigned to shoot pictures of James Dean.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3Mzc5Nzk0ODReQTJeQWpwZ15BbWU4MDA2ODQxMTcx._V1_SX300.jpg,See-Saw Films,R,6.1/10,Internet Movie Database,04 Dec 2015,True,111 min,Life,movie,N/A,2015,tt2948840,6.1,"6,007"
9361,N/A,India,N/A,Amit Sharma,Hindi,N/A,"Caught in the middle of a lethal unrequited love, an athlete protects a young woman from an unwanted marriage.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMTYwMDc5N15BMl5BanBnXkFtZTgwMTY3NTk5MzE@._V1_SX300.jpg,Eros Entertainment,NOT RATED,4.1/10,Internet Movie Database,09 Jan 2015,True,157 min,Tevar,movie,https://www.facebook.com/TevarMovie,2015,tt3398048,4.1,"2,497"
9362,Nominated for 1 Golden Globe. Another 17 wins & 20 nominations.,Chile,N/A,Pablo Larraín,Spanish,73,"A crisis counselor is sent by the Catholic Church to a small Chilean beach town where disgraced priests and nuns, suspected of crimes ranging from child abuse to baby-snatching from unwed mothers, live secluded, after an incident occurs.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2OTE4NTUzMl5BMl5BanBnXkFtZTgwNDY3NzA1NzE@._V1_SX300.jpg,N/A,NOT RATED,7.2/10,Internet Movie Database,28 May 2015,True,98 min,The Club,movie,N/A,2015,tt4375438,7.2,"7,184"
9364,N/A,"USA, UK",28 Apr 2015,David O. Russell,"English, Portuguese",20,"A small town waitress gets a nail accidentally lodged in her head causing unpredictable behavior that leads her to Washington, D.C., where sparks fly when she meets a clueless young senator who takes up her cause - but what happens when love interferes with what you stand for?",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MDE3Nzk1OV5BMl5BanBnXkFtZTgwMDg2ODE5MzE@._V1_SX300.jpg,Millennium Entertainment,PG-13,4.1/10,Internet Movie Database,10 Feb 2015,True,100 min,Accidental Love,movie,http://www.accidentallovemovie.com/,2015,tt1137470,4.1,"6,416"
9367,1 win & 1 nomination.,China,N/A,Jinglei Xu,"Mandarin, English",N/A,A guy meets a girl and they go on an amazing adventure together.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNTI3MDI2N15BMl5BanBnXkFtZTgwNDEyMzYzNDE@._V1_SX300.jpg,China Lion Film Distribution,N/A,5.5/10,Internet Movie Database,13 Feb 2015,True,109 min,Somewhere Only We Know,movie,http://www.onlyweknowmovie.com/,2015,tt4074958,5.5,596
9368,23 wins & 7 nominations.,"Romania, Bulgaria, Czech Republic, France",N/A,Radu Jude,"Romanian, Turkish, Romany",84,"Set in early 19th century Romania, a policeman, Costandin, is hired by a nobleman to find a Gypsy slave who has run away from his estate after having an affair with his wife.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTgxNjA5MDkzNF5BMl5BanBnXkFtZTgwMTUyNzA5NDE@._V1_SX300.jpg,N/A,NOT RATED,7.7/10,Internet Movie Database,22 Jan 2016,True,108 min,Aferim!,movie,N/A,2015,tt4374460,7.7,"5,257"
9370,1 win & 2 nominations.,Iran,N/A,Majid Majidi,"Arabic, English, Persian",N/A,"The events, trials and tribulations of the city of Makkah in 7th century AD.",https://images-na.ssl-images-amazon.com/images/M/MV5BMGU0OWEwMmYtNjRjNi00ZmU3LTk3NWUtMjg4ZWE0MjdhMzFlXkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_SX300.jpg,N/A,N/A,7.8/10,Internet Movie Database,27 Aug 2015,True,178 min,Muhammad: The Messenger of God,movie,N/A,2015,tt3921314,7.8,"6,416"
9371,1 win & 8 nominations.,USA,09 Jun 2015,Ari Sandel,"English, Spanish",56,"A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier, more popular counterparts.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3OTg3MDUwN15BMl5BanBnXkFtZTgwMTAwMTkxNDE@._V1_SX300.jpg,Lionsgate Films,PG-13,6.5/10,Internet Movie Database,20 Feb 2015,True,101 min,The DUFF,movie,http://theduffmovie.com/,2015,tt1666801,6.5,"63,213"
9374,Nominated for 1 Oscar. Another 8 wins & 35 nominations.,"USA, UK",15 Sep 2015,Kenneth Branagh,English,67,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her scheming step-sisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxODYyODEzN15BMl5BanBnXkFtZTgwMDk4OTU0MzE@._V1_SX300.jpg,Walt Disney Pictures,PG,6.9/10,Internet Movie Database,13 Mar 2015,True,105 min,Cinderella,movie,http://movies.disney.com/cinderella/,2015,tt1661199,6.9,"126,964"
9377,3 wins.,Vietnam,N/A,Dustin Nguyen,Vietnamese,N/A,"A poor lottery ticket hawker fends off lecherous millionaires, fast-talking ex-cons, and jealous housewives to make a living for her and her daughter. But when a ticket that she originally ...",http://ia.media-imdb.com/images/M/MV5BNWQ1Y2VjMTMtYzM3Yy00OTg1LTg4YmUtNjEyYWZlNDg3Mzc5XkEyXkFqcGdeQXVyNzA0NTg0Mg@@._V1_SX300.jpg,N/A,N/A,6.9/10,Internet Movie Database,13 Feb 2015,True,N/A,Jackpot,movie,N/A,2015,tt4320966,6.9,18
9378,2 wins & 1 nomination.,"China, Hong Kong",22 Dec 2015,Daniel Lee,"Mandarin, English, Latin",41,"When corrupt Roman leader Tiberius arrives with a giant army to claim the Silk Road, Huo An teams up his army with an elite Legion of defected Roman soldiers led by General Lucius to protect his country and his new friends.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0MjgxOTQ5MF5BMl5BanBnXkFtZTgwODA3NTUwNjE@._V1_SX300.jpg,Lionsgate Premiere,R,6.1/10,Internet Movie Database,04 Sep 2015,True,127 min,Dragon Blade,movie,N/A,2015,tt3672840,6.1,"14,840"
9381,N/A,Hong Kong,N/A,Matt Chow,"Cantonese, Mandarin, English, Thai",N/A,"Future Chang, a former gigolo, is devastated by an affair and returns to Thailand. With help from a former friend, he works hard to get in shape to return to Hong Kong to make a comeback in the male escort trade.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzU1MzBmN2UtNjlhMi00M2Q1LTk5YTktYTE3NjQxOGFhOTQwXkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_SX300.jpg,Asia Releasing LLC,N/A,4.8/10,Internet Movie Database,19 Feb 2015,True,84 min,12 Golden Ducks,movie,N/A,2015,tt4409852,4.8,222
9382,11 wins & 12 nominations.,"China, France",15 Dec 2015,Jean-Jacques Annaud,"Mandarin, Mongolian",58,"During China's Cultural Revolution, a young urban student is sent to live with Mongolian herders, where he adopts a wolf cub.",https://ia.media-imdb.com/images/M/MV5BMjczNTE2Mzc3M15BMl5BanBnXkFtZTgwNTQzOTY2NjE@._V1_SX300.jpg,Sony Pictures,PG-13,6.7/10,Internet Movie Database,19 Feb 2015,True,121 min,Wolf Totem,movie,http://www.marsdistribution.com/film/le_dernier_loup,2015,tt2909116,6.7,"4,630"
9385,3 wins & 5 nominations.,India,N/A,Sriram Raghavan,Hindi,N/A,A man seeks revenge when his entire family is wiped out during a bank robbery.,https://images-na.ssl-images-amazon.com/images/M/MV5BZDU5N2EyMGMtNWFhZC00OTg2LWIzYzYtZDRkYjgxNzhkN2EzXkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_SX300.jpg,Eros International,N/A,7.5/10,Internet Movie Database,20 Feb 2015,True,128 min,Badlapur,movie,N/A,2015,tt3678782,7.5,"16,808"
9387,2 nominations.,USA,19 May 2015,Steve Pink,English,29,"When Lou finds himself in trouble, Nick and Jacob fire up the hot tub time machine in an attempt to get back to the past. But they inadvertently land in the future with Adam Jr. Now they ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NzQzMzE0NV5BMl5BanBnXkFtZTgwMDM4MTI0NDE@._V1_SX300.jpg,Paramount Pictures,R,5.1/10,Internet Movie Database,20 Feb 2015,True,93 min,Hot Tub Time Machine 2,movie,http://www.hottubtimemachine2.com/,2015,tt2637294,5.1,"32,320"
9390,4 wins & 3 nominations.,USA,02 Jun 2015,Niki Caro,"English, Spanish",60,Jim White moves his family after losing his last job as a football coach. He sees that some of the students are worth starting a cross-country team and turns seven students with no hope into one of the best cross-country teams.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMwNjY2Mjk5OV5BMl5BanBnXkFtZTgwODM2NTA0MzE@._V1_SX300.jpg,Walt Disney Pictures,PG,7.4/10,Internet Movie Database,20 Feb 2015,True,129 min,"McFarland, USA",movie,http://movies.disney.com/mcfarland-usa,2015,tt2097298,7.4,"28,829"
9393,N/A,Morocco,N/A,Driss Mrini,"Arabic, French, Hebrew",N/A,N/A,N/A,N/A,N/A,7.7/10,Internet Movie Database,22 Feb 2015,True,94 min,Aida,movie,N/A,2015,tt5042240,7.7,6
9394,3 nominations.,"USA, Argentina",02 Jun 2015,"Glenn Ficarra, John Requa","English, Spanish",56,"In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwODg2OTA4OF5BMl5BanBnXkFtZTgwOTE5MTE4MzE@._V1_SX300.jpg,Warner Bros. Pictures,R,6.6/10,Internet Movie Database,27 Feb 2015,True,105 min,Focus,movie,http://focusmovie.com/,2015,tt2381941,6.6,"177,407"
